Scenario,Year,Revenue,EBITDA,PAT
Bull Case 🟢,FY 2025-26,21945.6,-1097.3,-2438.0
Bull Case 🟢,FY 2026-27,25895.8,-259.0,-1809.3
Bull Case 🟢,FY 2027-28,29780.2,893.4,-945.0
Base Case 🔵,FY 2025-26,20482.6,-1638.6,-2844.0
Base Case 🔵,FY 2026-27,22530.8,-901.2,-2291.0
Base Case 🔵,FY 2027-28,24333.3,243.3,-1432.6
Bear Case 🔴,FY 2025-26,17373.6,-2084.8,-3178.7
Bear Case 🔴,FY 2026-27,17894.8,-1610.5,-2823.0
Bear Case 🔴,FY 2027-28,18789.5,-1127.4,-2460.6
