Particulars,"FY 2024-25
(````` Crs.)","% of Total
Expenditure"
Coal & Coke,8232.0,35.0
Iron ore,3947.0,17.0
Other Raw materials,1110.0,5.0
Employee benefits,2482.0,11.0
Finance Costs,2172.0,9.0
Depreciation & Amortisation,1161.0,5.0
Stores & spares consumed,859.0,4.0
Power & Fuel,1618.0,7.0
Repairs & Maintenance,545.0,2.0
Freight Outward,337.0,1.0
Miscellaneous,891.0,4.0
Total,23354.0,100.0
