Particulars,"FY 2024-25
(````` Crs.)","FY 2023-24
(````` Crs.)","% of Inc / (Dec) over
the previous year"
Secured Loans,9513.76,14112.16,-33.0
Unsecured Loans,2158.56,4504.22,-52.0
Total Loans (Long & Short Term),11672.32,18616.38,-37.0
