,-4% Margin,-2% Margin,+0% Margin,+2% Margin,+4% Margin,+6% Margin,+8% Margin
-10% Revenue Growth,-1975.0,-1646.0,-1317.0,-988.0,-658.0,-329.0,0.0
-5% Revenue Growth,-2085.0,-1737.0,-1390.0,-1042.0,-695.0,-347.0,0.0
+0% Revenue Growth,-2195.0,-1829.0,-1463.0,-1097.0,-732.0,-366.0,0.0
+5% Revenue Growth,-2304.0,-1920.0,-1536.0,-1152.0,-768.0,-384.0,0.0
+10% Revenue Growth,-2414.0,-2012.0,-1609.0,-1207.0,-805.0,-402.0,0.0
+15% Revenue Growth,-2524.0,-2103.0,-1682.0,-1262.0,-841.0,-421.0,0.0
+20% Revenue Growth,-2633.0,-2195.0,-1756.0,-1317.0,-878.0,-439.0,0.0
