Year,Revenue,EBITDA,PAT,Debt,Year_Sort
FY 2020-21,14025.0,-2601.0,-3212.0,22000.0,1
FY 2021-22,21003.0,-891.0,-2713.0,21500.0,2
FY 2022-23,26145.0,-712.0,-2990.0,20100.0,3
FY 2023-24,23167.0,-1836.0,-4849.0,18616.0,4
FY 2024-25,18288.0,-1508.0,-1389.0,11672.0,5
