Risk Category,Count,Avg_Severity,Avg_Likelihood,Avg_Sentiment,Risk Level
Operational Risk,19,0.65,2.0,0.06,🟢 LOW
Market Risk,28,0.59,2.9,0.029,🟢 LOW
Regulatory Risk,51,0.55,5.3,0.01,🟢 LOW
Technology Risk,23,0.48,2.4,0.069,🟢 LOW
Financial Risk,14,0.46,1.4,0.046,🟢 LOW
Geopolitical Risk,2,0.4,0.2,0.0,🟢 LOW
General Risk,153,0.07,10.0,0.02,🟢 LOW
