Year,Revenue,EBITDA,PAT,Debt,Hot_Metal_Production,Steel_Production,Saleable_Steel_Production,Sales_Volume,Realization_Per_Tonne
2021,14025.0,-2601.0,-3212.0,22000.0,5.14,4.98,4.75,4.68,29966
2022,21003.0,-891.0,-2713.0,21500.0,6.12,5.87,5.61,5.55,37843
2023,26145.0,-712.0,-2990.0,20100.0,6.89,6.54,6.23,6.18,42306
2024,23167.0,-1836.0,-4849.0,18616.0,5.98,5.72,5.48,5.41,42824
2025,18288.0,-1508.0,-1389.0,11672.0,5.45,5.21,4.98,4.89,37398
