col_0,Particulars,FY 2024-25,FY 2023-24
A,"OPERATING RESULTS (` Crs)
Turnover
Turnover (Excl. Trial Run)
Gross Income
Gross Expenditure excl Finance cost and incl.Excp.Items
Gross Profit (PBIT) incl. Excp.Items
Profit before Tax
Net Profit After Tax","18288
18288
18668
21528
(2861)
(5032)
(1389)","23168
23147
23385
26431
(3045)
(5218)
(4849)"
B,"YEAR END FINANCIAL POSITION (` Crs)
Share Capital
Reserves and Surplus
Capital Employed
Net Worth
Gross Block
Cumulative Depreciation
Net Block
Inventory-Semi-finished/finished goods","5390
(4252)
12807
1137
35020
18258
16762
2251","4890
(9428)
14078
(4538)
34652
17211
17441
2407"
C,"PROFITABILITY AND OTHER RATIOS
(i) Percentage of
Gross Profit to Sales
Net Profit to Sales
Gross Profit to Net Worth
Net Profit to Net Worth
Gross Profit to Capital Employed
Net Profit to Capital Employed
Gross Profit to Share Capital
Semi/finished goods Inventory to Sales
(ii) Ratio of
Current Assets to Current Liabilities
Quick Assets to Current Liabilities
Sales to Capital Employed","(15.6)
(7.6)
(251.5)
(122.1)
(22.3)
(10.8)
(53.1)
12.3
0.4
0.1
1.4","(13.2)
(20.9)
-
-
(21.6)
(34.4)
(62.3)
10.4
0.3
0.1
1.6"
